task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order,flight_release_s,battery_release_s
P001153-1,U01,A,BAT_A01,0.0,2219.799820896939,2219.799820896939,2.948053836316883,2219.799820896939,3571.4598180551493,1351.6599971582104,2,2,S009>S002,2220,3572
P002888-1,U05,B,BAT_B01,0.0,1923.80003809751,1923.80003809751,2.7552342804549035,1923.80003809751,3784.4015596279683,1860.6015215304583,1,3,S012,1924,3785
P002895-1,U05,B,BAT_B04,1924.0,3434.400048484659,1510.4000484846588,1.824566933772147,3434.400048484659,4891.712386452589,1457.3123379679305,1,3,S013,3435,4892
P005277-1,U05,B,BAT_B02,3462.0,6036.379691404783,2574.3796914047834,3.174086313739639,6036.379691404783,8078.483760691961,2042.104069287177,2,2,S003>S005,6037,8079
P002902-1,U06,B,BAT_B02,0.0,1868.5974513534843,1868.5974513534843,2.137304308171069,1868.5974513534843,3461.429318227614,1592.83186687413,1,3,S014,1869,3462
P002874-1,U06,B,BAT_B03,1869.0,3423.5713591276817,1554.5713591276815,1.8210449428989823,3423.5713591276817,4879.357501050574,1455.7861419228925,1,3,S010,3424,4880
P008380-1,U07,C,BAT_C01,0.0,1693.4261775174657,1693.4261775174657,3.004693884669704,1693.4261775174657,3340.5307712821773,1647.1045937647116,1,9,S001,1694,3341
P050623-1,U07,C,BAT_C03,1694.0,4306.478710697707,2612.478710697707,5.387886039967234,4306.478710697707,6599.031179855499,2292.5524691577925,2,8,S007>S015,4307,6600
P008547-1,U07,C,BAT_C01,4307.0,6612.184064967842,2305.184064967841,6.1769107423796425,6612.184064967842,9118.430724362328,2506.2466593944864,1,6,S004,6613,9119
P008323-1,U07,C,BAT_C03,6613.0,8108.4261775174655,1495.4261775174657,2.92626894731049,8108.4261775174655,9734.290684080723,1625.8645065632577,1,6,S001,8109,9735
P008447-1,U07,C,BAT_C01,9119.0,11422.809520857649,2303.8095208576483,5.46686409866857,11422.809520857649,13736.75188091372,2313.9423600560713,1,4,S003,11423,13737
P008441-1,U08,C,BAT_C02,0.0,2177.00675724525,2177.00675724525,6.300747965355022,2177.00675724525,4716.792664528902,2539.785907283652,1,7,S002,2178,4717
P023135-1,U08,C,BAT_C04,2178.0,5177.049014760078,2999.0490147600776,6.153865599994624,5177.049014760078,7677.0542814252885,2500.005266665211,2,9,S006>S003,5178,7678
P051203-1,U08,C,BAT_C02,5178.0,7874.427513918611,2696.427513918611,6.377502256793861,7874.427513918611,10435.001041800282,2560.5735278816705,2,8,S011>S008,7875,10436
P038817-1,U08,C,BAT_C04,7875.0,10295.806160002947,2420.806160002946,6.217384735761888,10295.806160002947,12813.014525938459,2517.208365935511,2,7,S005>S009,10296,12814
