task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order,flight_release_s,battery_release_s
P000069-1,U01,A,BAT_A01,0.0,1252.6149834599576,1252.6149834599576,1.2869317340707995,1252.6149834599576,2124.395262191522,871.7802787315643,1,1,S006,1253,2125
P000076-1,U01,A,BAT_A05,1253.0,2565.6149834599573,1312.6149834599576,1.3095840119305917,2565.6149834599573,3443.9392535732395,878.3242701132822,1,2,S006,2566,3444
P000104-1,U01,A,BAT_A02,3263.0,4954.534486238949,1691.5344862389493,2.3382502154288844,4954.534486238949,6130.028992918405,1175.4945066794553,1,2,S009,4955,6131
P000110-1,U02,A,BAT_A02,0.0,1653.852469173274,1653.852469173274,2.0198116904222125,1653.852469173274,2737.3536241841352,1083.5011550108613,1,2,S010,1654,2738
P001153-1,U02,A,BAT_A06,1654.0,3873.799820896939,2219.799820896939,2.948053836316883,3873.799820896939,5225.459818055149,1351.6599971582104,2,2,S009>S002,3874,5226
P000890-1,U03,A,BAT_A03,0.0,1904.4758672031696,1904.4758672031696,2.19432547296678,1904.4758672031696,3038.392114949128,1133.9162477459586,2,2,S001>S013,1905,3039
P000074-1,U03,A,BAT_A01,2125.0,3437.6149834599573,1312.6149834599576,1.354999454410149,3437.6149834599573,4329.059270289556,891.4442868295985,1,2,S006,3438,4330
P002523-1,U04,A,BAT_A04,1193.0,3262.992187968592,2069.992187968592,2.2865693659807698,3262.992187968592,4423.556671474148,1160.5644835055557,2,3,S013>S010,3263,4424
P002700-1,U05,B,BAT_B01,0.0,1150.3573074816584,1150.3573074816584,1.2239597072836312,1150.3573074816584,2347.406513971232,1197.0492064895736,1,2,S001,1151,2348
P002888-1,U05,B,BAT_B03,1151.0,3074.80003809751,1923.80003809751,2.7552342804549035,3074.80003809751,4935.401559627968,1860.6015215304583,1,3,S012,3075,4936
P003515-1,U05,B,BAT_B02,3075.0,4862.55444434745,1787.5544443474505,1.927798354005843,4862.55444434745,6364.600397749982,1502.045953402532,2,2,S001>S006,4863,6365
P002756-1,U05,B,BAT_B04,4863.0,6883.24147479645,2020.2414747964503,2.935633182931117,6883.24147479645,8822.015854066602,1938.7743792701508,1,2,S003,6884,8823
P002700-2,U06,B,BAT_B02,0.0,1150.3573074816584,1150.3573074816584,1.2239597072836312,1150.3573074816584,2347.406513971232,1197.0492064895736,1,2,S001,1151,2348
P002902-1,U06,B,BAT_B04,1151.0,3019.5974513534843,1868.5974513534843,2.137304308171069,3019.5974513534843,4612.429318227614,1592.83186687413,1,3,S014,3020,4613
P002754-1,U06,B,BAT_B01,3033.0,5053.24147479645,2020.2414747964503,2.935633182931117,5053.24147479645,6992.015854066602,1938.7743792701508,1,2,S003,5054,6993
P002909-1,U06,B,BAT_B03,5054.0,6883.57299249031,1829.5729924903096,2.3109026130195294,6883.57299249031,8551.630791465439,1668.0577989751296,1,3,S015,6884,8552
P008382-1,U07,C,BAT_C01,0.0,1693.4261775174657,1693.4261775174657,2.728480567856419,1693.4261775174657,3265.722997978579,1572.2968204611134,1,9,S001,1694,3266
P025360-1,U07,C,BAT_C03,1694.0,4519.312759084483,2825.312759084484,5.941568400889239,4519.312759084483,6961.820867658653,2442.508108574169,2,9,S007>S003,4520,6962
P008547-1,U07,C,BAT_C01,4520.0,6825.184064967842,2305.184064967841,6.1769107423796425,6825.184064967842,9331.430724362328,2506.2466593944864,1,6,S004,6826,9332
P008441-1,U08,C,BAT_C02,56.0,2233.00675724525,2177.00675724525,6.300747965355022,2233.00675724525,4772.792664528902,2539.785907283652,1,7,S002,2234,4773
P051203-1,U08,C,BAT_C04,2234.0,4930.427513918611,2696.427513918611,6.377502256793861,4930.427513918611,7491.001041800282,2560.5735278816705,2,8,S011>S008,4931,7492
P008594-1,U08,C,BAT_C02,4931.0,6811.044640635813,1880.0446406358128,4.2387743677705485,6811.044640635813,8792.379365240336,1981.3347246045237,1,6,S005,6812,8793
