task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order,flight_release_s,battery_release_s
P000069-2,U01,A,BAT_A01,0.0,1252.6149834599576,1252.6149834599576,1.2869317340707995,1252.6149834599576,2124.395262191522,871.7802787315643,1,1,S006,1253,2125
P002523-1,U01,A,BAT_A05,1253.0,3322.992187968592,2069.992187968592,2.2865693659807698,3322.992187968592,4483.556671474148,1160.5644835055557,2,3,S013>S010,3323,4484
P000078-1,U02,A,BAT_A02,0.0,1312.6149834599576,1312.6149834599576,1.2558925819390496,1312.6149834599576,2175.4283960201274,862.8134125601699,1,2,S006,1313,2176
P000069-1,U02,A,BAT_A06,1313.0,2565.6149834599573,1252.6149834599576,1.2869317340707995,2565.6149834599573,3437.3952621915214,871.7802787315643,1,1,S006,2566,3438
P000001-1,U02,A,BAT_A03,2738.0,3930.470877312685,1192.470877312685,1.22307515767693,3930.470877312685,4783.803700641576,853.332823328891,1,1,S001,3931,4784
P000110-1,U03,A,BAT_A03,0.0,1653.852469173274,1653.852469173274,2.0198116904222125,1653.852469173274,2737.3536241841352,1083.5011550108613,1,2,S010,1654,2738
P000074-1,U03,A,BAT_A01,2125.0,3437.6149834599573,1312.6149834599576,1.354999454410149,3437.6149834599573,4329.059270289556,891.4442868295985,1,2,S006,3438,4330
P000890-1,U04,A,BAT_A04,0.0,1904.4758672031696,1904.4758672031696,2.19432547296678,1904.4758672031696,3038.392114949128,1133.9162477459586,2,2,S001>S013,1905,3039
P000023-1,U04,A,BAT_A02,2191.0,4138.73094747209,1947.7309474720896,2.8804520955606967,4138.73094747209,5470.861552856291,1332.1306053842013,1,1,S002,4139,5471
P002700-1,U05,B,BAT_B01,0.0,1150.3573074816584,1150.3573074816584,1.2239597072836312,1150.3573074816584,2347.406513971232,1197.0492064895736,1,2,S001,1151,2348
P002902-1,U05,B,BAT_B03,1151.0,3019.5974513534843,1868.5974513534843,2.137304308171069,3019.5974513534843,4612.429318227614,1592.83186687413,1,3,S014,3020,4613
P002909-1,U05,B,BAT_B01,3020.0,4849.57299249031,1829.5729924903096,2.3109026130195294,4849.57299249031,6517.630791465439,1668.0577989751296,1,3,S015,4850,6518
P002756-1,U05,B,BAT_B03,4850.0,6870.24147479645,2020.2414747964503,2.935633182931117,6870.24147479645,8809.015854066602,1938.7743792701508,1,2,S003,6871,8810
P002700-2,U06,B,BAT_B02,15.0,1165.3573074816584,1150.3573074816584,1.2239597072836312,1165.3573074816584,2362.406513971232,1197.0492064895736,1,2,S001,1166,2363
P002888-1,U06,B,BAT_B04,1166.0,3089.80003809751,1923.80003809751,2.7552342804549035,3089.80003809751,4950.401559627968,1860.6015215304583,1,3,S012,3090,4951
P002754-1,U06,B,BAT_B02,3090.0,5110.24147479645,2020.2414747964503,2.935633182931117,5110.24147479645,7049.015854066602,1938.7743792701508,1,2,S003,5111,7050
P002867-1,U06,B,BAT_B04,5111.0,6671.778736614857,1560.7787366148573,2.1024528395672246,6671.778736614857,8249.50830042732,1577.729563812464,1,3,S009,6672,8250
P008382-1,U07,C,BAT_C01,0.0,1693.4261775174657,1693.4261775174657,2.728480567856419,1693.4261775174657,3265.722997978579,1572.2968204611134,1,9,S001,1694,3266
P025360-1,U07,C,BAT_C03,1694.0,4519.312759084483,2825.312759084484,5.941568400889239,4519.312759084483,6961.820867658653,2442.508108574169,2,9,S007>S003,4520,6962
P008547-1,U07,C,BAT_C01,4520.0,6825.184064967842,2305.184064967841,6.1769107423796425,6825.184064967842,9331.430724362328,2506.2466593944864,1,6,S004,6826,9332
P008441-1,U08,C,BAT_C02,0.0,2177.00675724525,2177.00675724525,6.300747965355022,2177.00675724525,4716.792664528902,2539.785907283652,1,7,S002,2178,4717
P051203-1,U08,C,BAT_C04,2178.0,4874.427513918611,2696.427513918611,6.377502256793861,4874.427513918611,7435.001041800282,2560.5735278816705,2,8,S011>S008,4875,7436
P008594-1,U08,C,BAT_C02,4875.0,6755.044640635813,1880.0446406358128,4.2387743677705485,6755.044640635813,8736.379365240336,1981.3347246045237,1,6,S005,6756,8737
