task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order,flight_release_s,battery_release_s
P000040-1,U01,A,BAT_A01,0.0,2262.276992828245,2262.276992828245,3.0827565924461284,2262.276992828245,3652.8511195349047,1390.5741267066594,1,2,S003,2263,3653
P000039-1,U01,A,BAT_A06,2756.0,5018.276992828245,2262.276992828245,3.0827565924461284,5018.276992828245,6408.851119534905,1390.5741267066594,1,2,S003,5019,6409
P000085-1,U02,A,BAT_A02,0.0,1727.3175960060048,1727.3175960060048,1.9706696366234688,1727.3175960060048,2796.6221576972293,1069.3045616912243,1,2,S007,1728,2797
P000130-1,U02,A,BAT_A05,1728.0,3340.0233919046514,1612.0233919046514,1.957745501136248,3340.0233919046514,4405.594314455123,1065.5709225504716,1,2,S013,3341,4406
P000890-1,U03,A,BAT_A03,0.0,1904.4758672031696,1904.4758672031696,2.19432547296678,1904.4758672031696,3038.392114949128,1133.9162477459586,2,2,S001>S013,1905,3039
P001373-1,U04,A,BAT_A04,0.0,2481.811759351617,2481.811759351617,2.8923583723792263,2481.811759351617,3817.381955816727,1335.5701964651098,2,3,S007>S003,2482,3818
P002874-1,U05,B,BAT_B01,0.0,1554.5713591276815,1554.5713591276815,1.8210449428989823,1554.5713591276815,3010.357501050574,1455.7861419228925,1,3,S010,1555,3011
P002752-1,U05,B,BAT_B03,1555.0,3374.888672528453,1819.8886725284528,2.4966496823506805,3374.888672528453,5123.436868213748,1748.548195685295,1,3,S002,3375,5124
P002831-1,U05,B,BAT_B01,3375.0,4951.19020815246,1576.1902081524602,1.656283494582559,4951.19020815246,6335.57972247157,1384.389514319109,1,2,S007,4952,6336
P002754-1,U05,B,BAT_B03,5124.0,7144.24147479645,2020.2414747964503,2.935633182931117,7144.24147479645,9083.015854066602,1938.7743792701508,1,2,S003,7145,9084
P002888-1,U06,B,BAT_B02,1.0,1924.80003809751,1923.80003809751,2.7552342804549035,1924.80003809751,3785.4015596279683,1860.6015215304583,1,3,S012,1925,3786
P002902-1,U06,B,BAT_B04,1925.0,3793.5974513534843,1868.5974513534843,2.137304308171069,3793.5974513534843,5386.429318227614,1592.83186687413,1,3,S014,3794,5387
P002909-1,U06,B,BAT_B02,3794.0,5623.57299249031,1829.5729924903096,2.3109026130195294,5623.57299249031,7291.630791465439,1668.0577989751296,1,3,S015,5624,7292
P002867-1,U06,B,BAT_B04,5624.0,7184.778736614857,1560.7787366148573,2.1024528395672246,7184.778736614857,8762.50830042732,1577.729563812464,1,3,S009,7185,8763
P008320-1,U07,C,BAT_C01,0.0,1429.4261775174657,1429.4261775174657,2.728480567856419,1429.4261775174657,3001.722997978579,1572.2968204611134,1,5,S001,1430,3002
P008641-1,U07,C,BAT_C03,1430.0,2990.8632994307263,1560.8632994307263,2.5939758810401803,2990.8632994307263,4526.731767212442,1535.8684677817155,1,6,S006,2991,4527
P008547-1,U07,C,BAT_C01,3002.0,5307.184064967842,2305.184064967841,6.1769107423796425,5307.184064967842,7813.430724362328,2506.2466593944864,1,6,S004,5308,7814
P008594-1,U07,C,BAT_C03,5308.0,7188.044640635813,1880.0446406358128,4.2387743677705485,7188.044640635813,9169.379365240336,1981.3347246045237,1,6,S005,7189,9170
P008382-1,U08,C,BAT_C02,0.0,1693.4261775174657,1693.4261775174657,2.728480567856419,1693.4261775174657,3265.722997978579,1572.2968204611134,1,9,S001,1694,3266
P008389-1,U08,C,BAT_C04,1694.0,3739.00675724525,2045.0067572452497,6.018232400600038,3739.00675724525,6202.27803240776,2463.2712751625104,1,5,S002,3740,6203
P051203-1,U08,C,BAT_C02,3740.0,6436.427513918611,2696.427513918611,6.377502256793861,6436.427513918611,8997.001041800282,2560.5735278816705,2,8,S011>S008,6437,8998
