task_id,start_time_s,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s,hard_latest_start_s
R000098,0,A,1,S013,饮水:1|食品:1,2,22.0,0.055,2.0252312019390644,1612.0233919046514,0.549949,0.0,True,2516.5,2516.0
R000199,3132,B,1,S007,食品:1|卫生:1,2,14.0,0.063,1.5529827173571036,1576.1902081524602,0.611754,0.0,False,inf,inf
R000203,1555,B,1,S007,饮水:2,2,28.0,0.054,1.878779072601222,1576.1902081524602,0.530305,0.0,True,2534.3,2534.0
R000223,6195,B,1,S009,饮水:1|食品:1,2,22.0,0.055,2.00615948145015,1500.7787366148573,0.49846,0.0,True,9768.0,9768.0
R000234,0,B,1,S010,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.8210449428989823,1554.5713591276815,0.544739,0.0,True,2515.2,2515.0
R000241,6539,B,1,S011,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.077171254529726,1189.630285736439,0.730707,0.0,True,9893.0,9893.0
R000262,2294,B,1,S014,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.137304308171069,1868.5974513534843,0.465674,0.0,True,2358.1,2358.0
R000269,4709,B,1,S015,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.3109026130195294,1829.5729924903096,0.422274,0.0,True,5981.8,5981.0
R000280,6180,C,1,S001,食品:3|卫生:2,5,36.0,0.154,2.1499433145188216,1429.4261775174657,0.731257,0.0,False,inf,inf
R000326,0,C,1,S001,饮水:5,5,70.0,0.135,2.728480567856419,1429.4261775174657,0.65894,0.0,True,2483.1,2483.0
R000490,1561,C,1,S002,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.181413550070367,2111.00675724525,0.227323,0.0,True,2111.1,2111.0
R000543,3673,C,1,S003,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.203815391673846,2435.8095208576483,0.224523,0.0,True,5554.6,5554.0
R000575,5515,C,1,S004,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.227886,0.0,True,5614.4,5614.0
R000606,1430,C,1,S005,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,4.2387743677705485,1880.0446406358128,0.470153,0.0,True,9425.3,9425.0
R000637,0,C,1,S006,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,2.5939758810401803,1560.8632994307263,0.675753,0.0,True,2390.9,2390.0
R000683,3311,C,1,S008,医疗:1|饮水:2|食品:1|卫生:1,5,45.0,0.129,5.857489201651335,2203.758395917333,0.267814,0.0,True,5700.3,5700.0
R001127,0,A,2,S001>S012,S001:[医疗:2] S012:[饮水:1],3,20.0,0.051,3.0627988461754603,2432.198601251149,0.319378,0.0,True,1943.1,1943.0
R002594,2,A,2,S013>S012,S013:[医疗:1|食品:1] S012:[医疗:1],3,14.0,0.052,2.979474372054585,2398.4501997119714,0.337895,0.0,True,1976.8,1976.0
R003841,4163,B,2,S009>S002,S009:[食品:2] S002:[医疗:1],3,19.0,0.068,2.506530618927054,2031.652763374452,0.373367,0.0,True,9768.0,9768.0
R004168,54,B,2,S007>S003,S007:[食品:2] S003:[医疗:1],3,19.0,0.068,2.528235963411383,2239.683316742361,0.367941,0.0,True,2534.3,2534.0
R071593,1613,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071594,1692,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071595,2698,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
