task_id,start_time_s,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s,hard_latest_start_s
R000158,4925,B,1,S003,医疗:1|食品:2,3,19.0,0.068,2.553333936621157,2080.2414747964503,0.361667,0.0,True,5851.9,5851.0
R000187,7647,B,1,S006,食品:1|卫生:1,2,14.0,0.063,1.0646767635077197,1206.5806863122368,0.733831,0.0,False,inf,inf
R000223,3424,B,1,S009,饮水:1|食品:1,2,22.0,0.055,2.00615948145015,1500.7787366148573,0.49846,0.0,True,9768.0,9768.0
R000234,1869,B,1,S010,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.8210449428989823,1554.5713591276815,0.544739,0.0,True,2515.2,2515.0
R000241,7017,B,1,S011,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.077171254529726,1189.630285736439,0.730707,0.0,True,9893.0,9893.0
R000248,1526,B,1,S012,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.7552342804549035,1923.80003809751,0.311191,0.0,True,2328.2,2328.0
R000255,0,B,1,S013,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.824566933772147,1510.4000484846588,0.543858,0.0,True,2537.3,2537.0
R000262,0,B,1,S014,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.137304308171069,1868.5974513534843,0.465674,0.0,True,2358.1,2358.0
R000269,3462,B,1,S015,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.3109026130195294,1829.5729924903096,0.422274,0.0,True,5981.8,5981.0
R000280,7615,C,1,S001,食品:3|卫生:2,5,36.0,0.154,2.1499433145188216,1429.4261775174657,0.731257,0.0,False,inf,inf
R000438,1429,C,1,S001,医疗:2|饮水:5,7,76.0,0.159,2.92626894731049,1561.4261775174657,0.634216,0.0,True,2351.1,2351.0
R000490,0,C,1,S002,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.181413550070367,2111.00675724525,0.227323,0.0,True,2111.1,2111.0
R000516,5195,C,1,S003,饮水:4|卫生:1,5,62.0,0.143,6.041538336128271,2369.8095208576483,0.244808,0.0,True,5620.6,5620.0
R000575,4617,C,1,S004,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.227886,0.0,True,5614.4,5614.0
R000606,6923,C,1,S005,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,4.2387743677705485,1880.0446406358128,0.470153,0.0,True,9425.3,9425.0
R000634,0,C,1,S006,医疗:1|饮水:3,4,45.0,0.093,2.362494819245423,1428.8632994307263,0.704688,0.0,True,2522.9,2522.0
R000660,2112,C,1,S007,医疗:1|饮水:2|食品:1|卫生:1,5,45.0,0.129,3.410443405708377,1907.4812665020693,0.573695,0.0,True,2252.3,2252.0
R000683,2991,C,1,S008,医疗:1|饮水:2|食品:1|卫生:1,5,45.0,0.129,5.857489201651335,2203.758395917333,0.267814,0.0,True,5700.3,5700.0
R003841,5311,B,2,S009>S002,S009:[食品:2] S002:[医疗:1],3,19.0,0.068,2.506530618927054,2031.652763374452,0.373367,0.0,True,9768.0,9768.0
R071593,0,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071594,0,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071595,0,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
