task_id,start_time_s,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s,hard_latest_start_s
R000098,0,A,1,S013,饮水:1|食品:1,2,22.0,0.055,2.0252312019390644,1612.0233919046514,0.549949,0.0,True,2516.5,2516.0
R000199,3794,B,1,S007,食品:1|卫生:1,2,14.0,0.063,1.5529827173571036,1576.1902081524602,0.611754,0.0,False,inf,inf
R000203,0,B,1,S007,饮水:2,2,28.0,0.054,1.878779072601222,1576.1902081524602,0.530305,0.0,True,2534.3,2534.0
R000223,7082,B,1,S009,饮水:1|食品:1,2,22.0,0.055,2.00615948145015,1500.7787366148573,0.49846,0.0,True,9768.0,9768.0
R000228,5647,B,1,S010,食品:1,1,8.0,0.028,1.5138320113468402,1434.5713591276815,0.621542,0.0,False,inf,inf
R000241,7418,B,1,S011,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.077171254529726,1189.630285736439,0.730707,0.0,True,9893.0,9893.0
R000248,0,B,1,S012,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.7552342804549035,1923.80003809751,0.311191,0.0,True,2328.2,2328.0
R000262,1924,B,1,S014,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.137304308171069,1868.5974513534843,0.465674,0.0,True,2358.1,2358.0
R000269,3817,B,1,S015,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.3109026130195294,1829.5729924903096,0.422274,0.0,True,5981.8,5981.0
R000280,7016,C,1,S001,食品:3|卫生:2,5,36.0,0.154,2.1499433145188216,1429.4261775174657,0.731257,0.0,False,inf,inf
R000438,2306,C,1,S001,医疗:2|饮水:5,7,76.0,0.159,2.92626894731049,1561.4261775174657,0.634216,0.0,True,2351.1,2351.0
R000490,1683,C,1,S002,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.181413550070367,2111.00675724525,0.227323,0.0,True,2111.1,2111.0
R000543,3795,C,1,S003,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.203815391673846,2435.8095208576483,0.224523,0.0,True,5554.6,5554.0
R000575,0,C,1,S004,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.227886,0.0,True,5614.4,5614.0
R000606,6256,C,1,S005,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,4.2387743677705485,1880.0446406358128,0.470153,0.0,True,9425.3,9425.0
R000637,122,C,1,S006,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,2.5939758810401803,1560.8632994307263,0.675753,0.0,True,2390.9,2390.0
R000683,4812,C,1,S008,医疗:1|饮水:2|食品:1|卫生:1,5,45.0,0.129,5.857489201651335,2203.758395917333,0.267814,0.0,True,5700.3,5700.0
R002453,0,A,2,S010>S013,S010:[医疗:1|饮水:1] S013:[医疗:1],3,20.0,0.051,2.287217584613442,2069.992187968592,0.491729,0.0,True,2058.5,2058.0
R003841,5386,B,2,S009>S002,S009:[食品:2] S002:[医疗:1],3,19.0,0.068,2.506530618927054,2031.652763374452,0.373367,0.0,True,9768.0,9768.0
R004168,1577,B,2,S007>S003,S007:[食品:2] S003:[医疗:1],3,19.0,0.068,2.528235963411383,2239.683316742361,0.367941,0.0,True,2534.3,2534.0
R071593,0,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071594,1193,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071595,0,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
