task_id,start_time_s,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s,hard_latest_start_s
R000025,2069,A,1,S003,食品:2,2,16.0,0.056,2.963542785453088,2262.276992828245,0.341435,0.0,False,inf,inf
R000054,0,A,1,S006,医疗:1|食品:1,2,11.0,0.04,1.2673398458663825,1312.6149834599576,0.718369,0.0,True,2664.9,2664.0
R000074,0,A,1,S009,饮水:1|食品:1,2,22.0,0.055,2.3382502154288844,1691.5344862389493,0.480389,0.0,True,9672.6,9672.0
R000086,0,A,1,S011,饮水:1|食品:1,2,22.0,0.055,1.194888093078244,1223.5352135344808,0.734469,0.0,True,9906.0,9906.0
R000215,5623,B,1,S008,饮水:2,2,28.0,0.054,3.1580400807067988,1905.888618492203,0.21049,0.0,True,5966.8,5966.0
R000234,1511,B,1,S010,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.8210449428989823,1554.5713591276815,0.544739,0.0,True,2515.2,2515.0
R000248,0,B,1,S012,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.7552342804549035,1923.80003809751,0.311191,0.0,True,2328.2,2328.0
R000255,0,B,1,S013,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.824566933772147,1510.4000484846588,0.543858,0.0,True,2537.3,2537.0
R000262,1924,B,1,S014,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.137304308171069,1868.5974513534843,0.465674,0.0,True,2358.1,2358.0
R000269,3793,B,1,S015,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.3109026130195294,1829.5729924903096,0.422274,0.0,True,5981.8,5981.0
R000280,6114,C,1,S001,食品:3|卫生:2,5,36.0,0.154,2.1499433145188216,1429.4261775174657,0.731257,0.0,False,inf,inf
R000438,0,C,1,S001,医疗:2|饮水:5,7,76.0,0.159,2.92626894731049,1561.4261775174657,0.634216,0.0,True,2351.1,2351.0
R000490,1495,C,1,S002,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.181413550070367,2111.00675724525,0.227323,0.0,True,2111.1,2111.0
R000543,3607,C,1,S003,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.203815391673846,2435.8095208576483,0.224523,0.0,True,5554.6,5554.0
R000575,3470,C,1,S004,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.227886,0.0,True,5614.4,5614.0
R000604,5776,C,1,S005,医疗:1|饮水:3|卫生:1,5,51.0,0.128,4.004412978691258,1814.0446406358128,0.499448,0.0,True,9491.3,9491.0
R000619,0,C,1,S006,饮水:3|卫生:1,4,48.0,0.116,2.404206826670654,1428.8632994307263,0.699474,0.0,True,2522.9,2522.0
R000660,1562,C,1,S007,医疗:1|饮水:2|食品:1|卫生:1,5,45.0,0.129,3.410443405708377,1907.4812665020693,0.573695,0.0,True,2252.3,2252.0
R001706,1224,A,2,S005>S008,S005:[食品:1] S008:[食品:1],2,16.0,0.056,3.234563900698709,2438.1095066825583,0.281208,0.0,False,inf,inf
R003841,5277,B,2,S009>S002,S009:[食品:2] S002:[医疗:1],3,19.0,0.068,2.506530618927054,2031.652763374452,0.373367,0.0,True,9768.0,9768.0
R005826,3066,B,2,S011>S008,S011:[医疗:1|卫生:1] S008:[医疗:1],3,12.0,0.059,2.56199425428222,2210.012915326489,0.359501,0.0,True,5662.7,5662.0
R071593,2046,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071594,0,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071595,1193,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
